"ME No.","Plate Number","Tractor Model",Location,Hauler,"Omnitraq Status","Omnitraq #","Omnitraq IMEI","Omnitraq SIM","MDVR Status","MDVR Type","Device Serial","MDVR SIM","MDVR SIM Number","MDVR Integrated","MDVR Visible","Door Sensor","Last Updated"
BT-012,AQA7354,Hino,MABINI,"F.M. Castillo Sons Trucking and Services Corporation",not_started,,,,not_started,NEW,,,,No,No,"Not Installed","2026-08-01 00:16:59.7900000"
BT-013,NBC4379,Hino,MABINI,"F.M. Castillo Sons Trucking and Services Corporation",installed,,868933000000000,89320400000000000000,installed,NEW,867806000000000,325339000000000,,Yes,Yes,Installed,"2026-08-01 00:16:59.8166667"
BT-014,JM5613,Hino,MABINI,"F.M. Castillo Sons Trucking and Services Corporation",not_started,,,,not_started,NEW,,,,No,No,"Not Installed","2026-08-01 00:16:59.8200000"
BT-016,JM5612,Hino,MABINI,"F.M. Castillo Sons Trucking and Services Corporation",not_started,,,,not_started,NEW,,,,No,No,"Not Installed","2026-08-01 00:16:59.8233333"
LT-130,NAT-7646,,LIMAY,"F.M. Castillo Sons Trucking and Services Corporation",not_started,,,,installed,NEW,867806000000000,325339000000000,,Yes,Yes,"Not Installed","2026-08-01 00:20:35.1466667"
PF-43,NIR-1905,,MABINI,"F.M. Castillo Sons Trucking and Services Corporation",not_started,,,,installed,NEW,862708000000000,325339000000000,,Yes,Yes,"Not Installed","2026-08-01 00:20:34.4200000"
PF-74,NIR-2540,,MABINI,"F.M. Castillo Sons Trucking and Services Corporation",not_started,,,,installed,NEW,862708000000000,325339000000000,,Yes,Yes,"Not Installed","2026-08-01 00:20:34.3933333"
PI-01,NIS-5074,,MABINI,"F.M. Castillo Sons Trucking and Services Corporation",not_started,,,,installed,NEW,862708000000000,325339000000000,,Yes,Yes,"Not Installed","2026-08-01 00:20:34.4100000"
PI-02,NIS-4934,,MABINI,"F.M. Castillo Sons Trucking and Services Corporation",not_started,,,,installed,NEW,862708000000000,325339000000000,,Yes,Yes,"Not Installed","2026-08-01 00:20:34.4133333"
PI-06,NIU-5275,,MABINI,"F.M. Castillo Sons Trucking and Services Corporation",not_started,,,,installed,NEW,862708000000000,325339000000000,,Yes,Yes,"Not Installed","2026-08-01 00:20:34.4233333"
PL-114,NIP-3107,,MABINI,"F.M. Castillo Sons Trucking and Services Corporation",installed,,868933000000000,89320400000000000000,installed,NEW,862708000000000,325339000000000,9681974521,Yes,Yes,"Not Installed","2026-08-01 00:20:34.1966667"
PL-208,NIR-9359,,MANDAUE,"F.M. Castillo Sons Trucking and Services Corporation",not_started,,,,installed,NEW,862708000000000,,,Yes,Yes,"Not Installed","2026-08-01 00:20:34.8266667"
